target_short,target,model,validation,seed,train_r2,test_r2,gap,test_rmse,n,groups
NO3-N,NO3--N (g/Kg),XGBoost,random,84,0.9671267886133189,0.8229821662464963,0.14414462236682257,0.1067895826238984,1210,148
NO3-N,NO3--N (g/Kg),XGBoost,group,0,0.9619793288861669,0.3674434400200842,0.5945358888660827,0.19293396739455557,1210,148
NO3-N,NO3--N (g/Kg),XGBoost,group,7,0.9618240279803921,0.4666650294267979,0.49515899855359424,0.18855586795372078,1210,148
NO3-N,NO3--N (g/Kg),XGBoost,group,21,0.9674748820866613,0.6220973404097041,0.3453775416769572,0.16452017875178518,1210,148
NO3-N,NO3--N (g/Kg),XGBoost,group,42,0.9662677054372947,0.29792950922587713,0.6683381962114175,0.21526579914213745,1210,148
NO3-N,NO3--N (g/Kg),XGBoost,group,84,0.9723683477526478,0.46875093114449096,0.5036174166081568,0.17125732281858458,1210,148
CO2,CO2 (g/Kg),XGBoost,random,0,0.9594518857701343,0.7492968402383335,0.21015504553180075,0.26090991813578474,734,66
CO2,CO2 (g/Kg),XGBoost,random,7,0.9620923045112494,0.6920654490774913,0.27002685543375804,0.27975005064561953,734,66
CO2,CO2 (g/Kg),XGBoost,random,21,0.9653911605079729,0.6396364755362401,0.32575468497173277,0.2662392633388475,734,66
CO2,CO2 (g/Kg),XGBoost,random,42,0.9647599937452901,0.6333729907446541,0.33138700300063595,0.30743341598271634,734,66
CO2,CO2 (g/Kg),XGBoost,random,84,0.9530898576154285,0.7789201023898709,0.17416975522555767,0.22506180676071336,734,66
CO2,CO2 (g/Kg),XGBoost,group,0,0.9553512975404083,0.46882760274837,0.4865236947920383,0.4409615095866807,734,66
CO2,CO2 (g/Kg),XGBoost,group,7,0.9661755121085053,0.5199714586243156,0.4462040534841897,0.3655025388079067,734,66
CO2,CO2 (g/Kg),XGBoost,group,21,0.9543126991638762,0.517137809751526,0.43717488941235016,0.5316519713036698,734,66
CO2,CO2 (g/Kg),XGBoost,group,42,0.9579073227523478,0.6952798998300806,0.26262742292226715,0.3077498197485373,734,66
CO2,CO2 (g/Kg),XGBoost,group,84,0.9682123292614231,0.44086280014227497,0.5273495291191481,0.3372925487276268,734,66
CH4,CH4 (g/Kg),XGBoost,random,0,0.9737870973740389,0.679054631116495,0.2947324662575439,0.02799767811143585,493,52
CH4,CH4 (g/Kg),XGBoost,random,7,0.9640043608224943,0.7032935347151523,0.260710826107342,0.025392974429749728,493,52
CH4,CH4 (g/Kg),XGBoost,random,21,0.9674886052921888,0.7736767663086727,0.19381183898351617,0.021288115463120275,493,52
CH4,CH4 (g/Kg),XGBoost,random,42,0.965270544174607,0.7439090189962103,0.2213615251783967,0.023282347468710267,493,52
CH4,CH4 (g/Kg),XGBoost,random,84,0.9637058191416836,0.5019582309897765,0.4617475881519071,0.035592173495451775,493,52
CH4,CH4 (g/Kg),XGBoost,group,0,0.9814124681041745,0.5286859494551643,0.45272651864901015,0.031817369892147465,493,52
CH4,CH4 (g/Kg),XGBoost,group,7,0.976640848182542,0.5512593887579944,0.42538145942454764,0.033486732491874935,493,52
CH4,CH4 (g/Kg),XGBoost,group,21,0.9635777508500735,0.6078024258259851,0.3557753250240884,0.030379462627157523,493,52
CH4,CH4 (g/Kg),XGBoost,group,42,0.9587083604014499,0.7090209906235037,0.24968736977794626,0.026855564353265367,493,52
CH4,CH4 (g/Kg),XGBoost,group,84,0.9794950095353174,0.5445447970764413,0.4349502124588761,0.03432184149795636,493,52
N2O,N2O (g/Kg),XGBoost,random,0,0.9749552570874795,0.3312865931565687,0.6436686639309108,0.013168699507614519,451,48
N2O,N2O (g/Kg),XGBoost,random,7,0.9709306039671728,0.5250628199546141,0.44586778401255867,0.008639830699641035,451,48
N2O,N2O (g/Kg),XGBoost,random,21,0.9675485360214289,0.3165551861788787,0.6509933498425502,0.012188651716889596,451,48
N2O,N2O (g/Kg),XGBoost,random,42,0.9668939200225701,0.28508500857189023,0.6818089114506799,0.011524314820090387,451,48
N2O,N2O (g/Kg),XGBoost,random,84,0.9685311396232162,0.4172969453607335,0.5512341942624828,0.010070785631583212,451,48
N2O,N2O (g/Kg),XGBoost,group,0,0.9657370131554217,0.3983551708874946,0.5673818422679271,0.012544907940142907,451,48
N2O,N2O (g/Kg),XGBoost,group,7,0.9737686043494357,0.45154166284151465,0.522226941507921,0.009423251068871883,451,48
N2O,N2O (g/Kg),XGBoost,group,21,0.9540015554408072,0.19089431043576188,0.7631072450050453,0.017787554540718054,451,48
N2O,N2O (g/Kg),XGBoost,group,42,0.9664298181428115,-0.10386608523355045,1.070295903376362,0.011322046585650334,451,48
N2O,N2O (g/Kg),XGBoost,group,84,0.9724279031583152,0.40971595296220464,0.5627119501961105,0.011082493628726247,451,48
NH3,NH3 (g/Kg),XGBoost,random,0,0.9840682714625116,0.8442672432162889,0.13980102824622276,0.07582709405175996,974,80
NH3,NH3 (g/Kg),XGBoost,random,7,0.982568426146838,0.7901675319501167,0.19240089419672135,0.08976359377064691,974,80
NH3,NH3 (g/Kg),XGBoost,random,21,0.9809374683998902,0.8734235309432741,0.10751393745661608,0.06941714484387974,974,80
NH3,NH3 (g/Kg),XGBoost,random,42,0.9779239890019235,0.8936497244833026,0.08427426451862086,0.06235745726289957,974,80
NH3,NH3 (g/Kg),XGBoost,random,84,0.9823260122858996,0.883240842490897,0.09908516979500259,0.06523273061598386,974,80
NH3,NH3 (g/Kg),XGBoost,group,0,0.9860063594206108,0.7452963136141386,0.24071004580647215,0.08636282152649377,974,80
NH3,NH3 (g/Kg),XGBoost,group,7,0.9841929852808482,0.72966797151349,0.25452501376735814,0.11606659175521161,974,80
NH3,NH3 (g/Kg),XGBoost,group,21,0.9801686343099192,0.78979231519647,0.1903763191134492,0.11135862284760033,974,80
NH3,NH3 (g/Kg),XGBoost,group,42,0.9813636860782456,0.6953225037214199,0.28604118235682574,0.11468668133940955,974,80
NH3,NH3 (g/Kg),XGBoost,group,84,0.9735035067722897,0.7931570643402485,0.18034644243204123,0.11378288882815207,974,80
