candidate,validation,seed,train_r2,test_r2,gap,rmse,mae
LGBM_reg1,group,7,0.7983835514180633,0.5984474104348738,0.19993614098318946,20.264140649647654,14.760030530989496
LGBM_reg1,group,21,0.775570923212813,0.6591195808208172,0.11645134239199573,17.652779176176537,13.33540114904941
LGBM_reg1,group,42,0.7768237024175041,0.6399136908861409,0.13691001153136317,20.268726624263984,15.197456901715366
LGBM_reg1,group,84,0.768484107521061,0.6862844625010354,0.08219964502002564,17.66647439949335,13.739204821361207
LGBM_reg1,random,0,0.7649491698874726,0.7349138751536238,0.030035294733848805,17.380823081899454,12.891876858523018
LGBM_reg1,random,7,0.772624894221719,0.6964306593538553,0.0761942348678637,18.471588823259882,13.191827366318808
LGBM_reg1,random,21,0.7720144791152361,0.7132566352413189,0.05875784387391725,18.094810454040836,12.621096428905163
LGBM_reg1,random,42,0.7706164778922062,0.7161909259397273,0.05442555195247889,17.7479647263641,13.27382298106873
LGBM_reg1,random,84,0.7720643904526625,0.7118772871408022,0.06018710331186028,18.217181238393863,12.716870460840667
Cat_reg_current,group,0,0.8325572036054669,0.6805122564779332,0.1520449471275337,17.66978585942915,12.995155810007013
Cat_reg_current,group,7,0.836543274439991,0.6434689501877444,0.19307432425224658,19.094384105423664,13.791777240952944
Cat_reg_current,group,21,0.8220311930842563,0.7204571462617091,0.10157404682254723,15.985869308457355,12.071411714849715
Cat_reg_current,group,42,0.8217182985500414,0.6347379411340663,0.18698035741597507,20.413874564640285,14.832382769997237
Cat_reg_current,group,84,0.822444995550554,0.7391860668667853,0.08325892868376861,16.108209461898998,12.479839250465895
Cat_reg_current,random,0,0.8062368647737809,0.771771497440364,0.034465367333416874,16.12730432020984,11.836307345159685
Cat_reg_current,random,7,0.8198366708657412,0.7428513975710367,0.0769852732947045,17.00072268134523,12.058107810545426
Cat_reg_current,random,21,0.8182575305239751,0.7499227667857922,0.06833476373818292,16.89835492171206,11.80361103412231
Cat_reg_current,random,42,0.8198493959898471,0.7598981194231376,0.05995127656670951,16.324248575785116,12.06268989916032
Cat_reg_current,random,84,0.8168537163819019,0.7539363996139773,0.06291731676792456,16.835116207874538,11.77781206512063
Cat_reg2,group,0,0.7269002567854823,0.6037839043996217,0.1231163523858606,19.677514555653207,14.737473864271443
Cat_reg2,group,7,0.7465962504150221,0.5742863935596032,0.17230985685541889,20.864872789463003,15.39493890378776
Cat_reg2,group,21,0.715895391455891,0.6543549719200374,0.06154041953585354,17.775720706785677,13.745637651832078
Cat_reg2,group,42,0.7110992528283324,0.6170299605587651,0.09406929226956728,20.902852704942138,15.969648637249943
Cat_reg2,group,84,0.7098699077252356,0.6659939173024307,0.04387599042280488,18.22884121845302,14.17277267562603
Cat_reg2,random,0,0.6969739641103567,0.6883241326993532,0.008649831411003506,18.846401067656057,14.151810099130405
Cat_reg2,random,7,0.7120945698717575,0.6435840488235272,0.0685105210482303,20.01492030418012,14.544744623920668
Cat_reg2,random,21,0.7086438665677774,0.6571261569182996,0.05151770964947788,19.78675276113898,14.391573539582144
Cat_reg2,random,42,0.7078051389607602,0.6768633628970988,0.03094177606366144,18.937756100735935,14.484846087678159
Cat_reg2,random,84,0.7127820151188177,0.669679156765026,0.043102858353791684,19.505649707307242,14.063790159834204
RF_reg,group,0,0.771531171135785,0.60731607685875,0.16421509427703496,19.58960801445091,14.246781891531397
RF_reg,group,7,0.7737575973688844,0.5740969025758583,0.19966069479302606,20.869515893825323,15.125171350139153
RF_reg,group,21,0.753121460479687,0.6635172309990349,0.08960422948065205,17.538541532841993,13.057895352215223
RF_reg,group,42,0.7634307053115368,0.6143615264142017,0.14906917889733506,20.975549072511857,15.795249310675876
RF_reg,group,84,0.7546125716166326,0.6965923155753998,0.05802025604123284,17.373813772582416,13.252891277368098
RF_reg,random,0,0.7499105092985485,0.7143099006564666,0.03560060864208192,18.04365172099275,13.26613386473956
RF_reg,random,7,0.7569027426612567,0.6596251195974601,0.09727762306379661,19.55933341332865,13.907878759185936
RF_reg,random,21,0.7587491455707263,0.6769583227883509,0.08179082278237537,19.20598687879208,13.470236028609104
RF_reg,random,42,0.7564849736399948,0.6919235950278079,0.06456137861218691,18.49118047573264,13.767467004330474
RF_reg,random,84,0.7575650770689649,0.6795846501245196,0.07798042694444529,19.21096089840583,13.30214504500407
ET_reg,group,0,0.6869688212150711,0.5454716444823922,0.14149717673267892,21.07582947969711,15.959365909366134
ET_reg,group,7,0.6980037388088679,0.5151432601991544,0.18286047860971355,22.267101775394295,16.47800135766826
ET_reg,group,21,0.6642079352139374,0.6110519320616514,0.05315600315228597,18.856360397110308,14.681777826001996
ET_reg,group,42,0.676567520454566,0.5623837950448246,0.11418372540974142,22.344459731216634,17.28166425326346
ET_reg,group,84,0.6722364622691731,0.61969087525024,0.05254558701893308,19.451372322317404,15.026871218801178
ET_reg,random,0,0.6587194873915795,0.6353640266196904,0.023355460771889103,20.384806659157253,15.416203952110799
ET_reg,random,7,0.6685590355629392,0.61232654862611,0.05623248693682914,20.874127379563845,15.403510904934818
ET_reg,random,21,0.6691787521611339,0.6107242622294594,0.05845448993167446,21.083175205141668,15.576809867164132
ET_reg,random,42,0.6684574673162784,0.6300882541675441,0.038369213148734316,20.26210116422578,15.51065560010168
ET_reg,random,84,0.6678531769585616,0.6299856160279891,0.03786756093057253,20.644374794455597,15.169015203235725
